"","ID","Ozone","Solar.R","Wind","Temp","Month","Day","Temp_C"
"1",1,41,190,7.4,67,5,1,19.4444444444444
"2",2,36,118,8,72,5,2,22.2222222222222
"3",3,12,149,12.6,74,5,3,23.3333333333333
"4",4,18,313,11.5,62,5,4,16.6666666666667
"5",5,NA,NA,14.3,56,5,5,13.3333333333333
"6",6,28,NA,14.9,66,5,6,18.8888888888889
"7",7,23,299,8.6,65,5,7,18.3333333333333
"8",8,19,99,13.8,59,5,8,15
"9",9,8,19,20.1,61,5,9,16.1111111111111
"10",10,NA,194,8.6,69,5,10,20.5555555555556
"11",11,7,NA,6.9,74,5,11,23.3333333333333
"12",12,16,256,9.7,69,5,12,20.5555555555556
"13",13,11,290,9.2,66,5,13,18.8888888888889
"14",14,14,274,10.9,68,5,14,20
"15",15,18,65,13.2,58,5,15,14.4444444444444
"16",16,14,334,11.5,64,5,16,17.7777777777778
"17",17,34,307,12,66,5,17,18.8888888888889
"18",18,6,78,18.4,57,5,18,13.8888888888889
"19",19,30,322,11.5,68,5,19,20
"20",20,11,44,9.7,62,5,20,16.6666666666667
"21",21,1,8,9.7,59,5,21,15
"22",22,11,320,16.6,73,5,22,22.7777777777778
"23",23,4,25,9.7,61,5,23,16.1111111111111
"24",24,32,92,12,61,5,24,16.1111111111111
"25",25,NA,66,16.6,57,5,25,13.8888888888889
"26",26,NA,266,14.9,58,5,26,14.4444444444444
"27",27,NA,NA,8,57,5,27,13.8888888888889
"28",28,23,13,12,67,5,28,19.4444444444444
"29",29,45,252,14.9,81,5,29,27.2222222222222
"30",30,115,223,5.7,79,5,30,26.1111111111111
"31",31,37,279,7.4,76,5,31,24.4444444444444
"32",32,NA,286,8.6,78,6,1,25.5555555555556
"33",33,NA,287,9.7,74,6,2,23.3333333333333
"34",34,NA,242,16.1,67,6,3,19.4444444444444
"35",35,NA,186,9.2,84,6,4,28.8888888888889
"36",36,NA,220,8.6,85,6,5,29.4444444444444
"37",37,NA,264,14.3,79,6,6,26.1111111111111
"38",38,29,127,9.7,82,6,7,27.7777777777778
"39",39,NA,273,6.9,87,6,8,30.5555555555556
"40",40,71,291,13.8,90,6,9,32.2222222222222
"41",41,39,323,11.5,87,6,10,30.5555555555556
"42",42,NA,259,10.9,93,6,11,33.8888888888889
"43",43,NA,250,9.2,92,6,12,33.3333333333333
"44",44,23,148,8,82,6,13,27.7777777777778
"45",45,NA,332,13.8,80,6,14,26.6666666666667
"46",46,NA,322,11.5,79,6,15,26.1111111111111
"47",47,21,191,14.9,77,6,16,25
"48",48,37,284,20.7,72,6,17,22.2222222222222
"49",49,20,37,9.2,65,6,18,18.3333333333333
"50",50,12,120,11.5,73,6,19,22.7777777777778
"51",51,13,137,10.3,76,6,20,24.4444444444444
"52",52,NA,150,6.3,77,6,21,25
"53",53,NA,59,1.7,76,6,22,24.4444444444444
"54",54,NA,91,4.6,76,6,23,24.4444444444444
"55",55,NA,250,6.3,76,6,24,24.4444444444444
"56",56,NA,135,8,75,6,25,23.8888888888889
"57",57,NA,127,8,78,6,26,25.5555555555556
"58",58,NA,47,10.3,73,6,27,22.7777777777778
"59",59,NA,98,11.5,80,6,28,26.6666666666667
"60",60,NA,31,14.9,77,6,29,25
"61",61,NA,138,8,83,6,30,28.3333333333333
"62",62,135,269,4.1,84,7,1,28.8888888888889
