Entity,Code,Year,Annual CO₂ emissions
Austria,AUT,1807,168544
Austria,AUT,1819,252815.98
Austria,AUT,1820,333424
Austria,AUT,1821,359072
Austria,AUT,1822,366400
Austria,AUT,1823,348080
Austria,AUT,1824,399376
Austria,AUT,1825,403040
Austria,AUT,1826,458000
Austria,AUT,1827,476320
Austria,AUT,1828,458000
Austria,AUT,1829,476320
Austria,AUT,1830,494640
Austria,AUT,1831,479984
Austria,AUT,1832,512960.03
Austria,AUT,1833,428688
Austria,AUT,1834,586240
Austria,AUT,1835,633872
Austria,AUT,1836,674176
Austria,AUT,1837,707152
Austria,AUT,1838,850048
Austria,AUT,1839,1058896
Austria,AUT,1840,1168816
Austria,AUT,1841,1319040
Austria,AUT,1842,1458272
Austria,AUT,1843,1267744
Austria,AUT,1844,1593840
Austria,AUT,1845,1799024
Austria,AUT,1846,2114128
Austria,AUT,1847,2081152
Austria,AUT,1848,2333968
Austria,AUT,1849,2260688
Austria,AUT,1850,2326640
Austria,AUT,1851,2333968
Austria,AUT,1852,2810288
Austria,AUT,1853,3224320
Austria,AUT,1854,3176688
Austria,AUT,1855,3700640
Austria,AUT,1856,4231920
Austria,AUT,1857,4873120
Austria,AUT,1858,7243728
Austria,AUT,1859,5866064
Austria,AUT,1860,6148192
Austria,AUT,1861,6379024
Austria,AUT,1862,6353376
Austria,AUT,1863,5877056
Austria,AUT,1864,5074640
Austria,AUT,1865,5353104
Austria,AUT,1866,3594384
Austria,AUT,1867,4913424
Austria,AUT,1868,6071248
Austria,AUT,1869,6485280
Austria,AUT,1870,7364640
Austria,AUT,1871,10141952
Austria,AUT,1872,10006384
Austria,AUT,1873,10728192
Austria,AUT,1874,9152672
Austria,AUT,1875,7859280
Austria,AUT,1876,8090111.5
Austria,AUT,1877,7284032
Austria,AUT,1878,7240064
Austria,AUT,1879,8863216
Austria,AUT,1880,23647456
Austria,AUT,1881,10314160
Austria,AUT,1882,10599952
Austria,AUT,1883,11761440
Austria,AUT,1884,11460992
Austria,AUT,1885,12047232
Austria,AUT,1886,11369392
Austria,AUT,1887,12256080
Austria,AUT,1888,11951968
Austria,AUT,1889,12875296
Austria,AUT,1890,13036512
Austria,AUT,1891,14945456
Austria,AUT,1892,14465472
Austria,AUT,1893,17700784
Austria,AUT,1894,18129472
Austria,AUT,1895,20371840
Austria,AUT,1896,21298832
Austria,AUT,1897,23020912
Austria,AUT,1898,24453536
Austria,AUT,1899,24816272
Austria,AUT,1900,27696176
Austria,AUT,1901,28352032
Austria,AUT,1902,25695632
Austria,AUT,1903,25699296
Austria,AUT,1904,27208864
Austria,AUT,1905,28608512
Austria,AUT,1906,34177790
Austria,AUT,1907,42696590
Austria,AUT,1908,60030976
Austria,AUT,1909,43641904
Austria,AUT,1910,58785216
Austria,AUT,1911,49141570
Austria,AUT,1912,51688050
Austria,AUT,1913,60983616
Austria,AUT,1914,49654530
Austria,AUT,1915,35342944
Austria,AUT,1916,9086720
Austria,AUT,1917,3451488
Austria,AUT,1918,3337904
Austria,AUT,1919,3015472
Austria,AUT,1920,14527760
Austria,AUT,1921,19338592
Austria,AUT,1922,18587472
Austria,AUT,1923,17777728
Austria,AUT,1924,20093376
Austria,AUT,1925,18990512
Austria,AUT,1926,18620448
Austria,AUT,1927,20122688
Austria,AUT,1928,21190466
Austria,AUT,1929,24172726
Austria,AUT,1930,18863498
Austria,AUT,1931,18102606
Austria,AUT,1932,15171198
Austria,AUT,1933,14229847
Austria,AUT,1934,13753408
Austria,AUT,1935,13921714
Austria,AUT,1936,13591954
Austria,AUT,1937,15258836
Austria,AUT,1938,5786503
Austria,AUT,1939,6335720
Austria,AUT,1940,7343022
Austria,AUT,1941,7973112
Austria,AUT,1942,8545348
Austria,AUT,1943,9611216
Austria,AUT,1944,9390832
Austria,AUT,1945,4561680
Austria,AUT,1946,12760137
Austria,AUT,1947,17630040
Austria,AUT,1948,24487262
Austria,AUT,1949,26574256
Austria,AUT,1950,20945440
Austria,AUT,1951,23322830
Austria,AUT,1952,22117730
Austria,AUT,1953,21758514
Austria,AUT,1954,24542354
Austria,AUT,1955,29110290
Austria,AUT,1956,28245288
Austria,AUT,1957,29222774
Austria,AUT,1958,28127150
Austria,AUT,1959,27946542
Austria,AUT,1960,30824784
Austria,AUT,1961,31860686
Austria,AUT,1962,33908950
Austria,AUT,1963,36996856
Austria,AUT,1964,38940580
Austria,AUT,1965,38184520
Austria,AUT,1966,39245444
Austria,AUT,1967,39955876
Austria,AUT,1968,42330116
Austria,AUT,1969,44675230
Austria,AUT,1970,50672004
Austria,AUT,1971,52102070
Austria,AUT,1972,56100684
Austria,AUT,1973,60044836
Austria,AUT,1974,57326936
Austria,AUT,1975,54239144
Austria,AUT,1976,58229440
Austria,AUT,1977,56015676
Austria,AUT,1978,57248468
Austria,AUT,1979,61346972
Austria,AUT,1980,52054240
Austria,AUT,1981,55862204
Austria,AUT,1982,53598264
Austria,AUT,1983,51697550
Austria,AUT,1984,54247024
Austria,AUT,1985,54402960
Austria,AUT,1986,53765172
Austria,AUT,1987,57406892
Austria,AUT,1988,52962868
Austria,AUT,1989,53718110
Austria,AUT,1990,62191450
Austria,AUT,1991,65790084
Austria,AUT,1992,60291068
Austria,AUT,1993,60710530
Austria,AUT,1994,61080120
Austria,AUT,1995,64063036
Austria,AUT,1996,67410310
Austria,AUT,1997,67304890
Austria,AUT,1998,66936904
Austria,AUT,1999,65667700
Austria,AUT,2000,66204024
Austria,AUT,2001,70190730
Austria,AUT,2002,71988380
Austria,AUT,2003,77411930
Austria,AUT,2004,77715920
Austria,AUT,2005,79095480
Austria,AUT,2006,76796200
Austria,AUT,2007,74092160
Austria,AUT,2008,73466480
Austria,AUT,2009,67301760
Austria,AUT,2010,72000250
Austria,AUT,2011,69891710
Austria,AUT,2012,67260344
Austria,AUT,2013,67758860
Austria,AUT,2014,64158736
Austria,AUT,2015,66357780
Austria,AUT,2016,67218740
Austria,AUT,2017,69601480
Austria,AUT,2018,66566510
Austria,AUT,2019,67951230
Austria,AUT,2020,62179828
Austria,AUT,2021,65751344
Austria,AUT,2022,61454140
Austria,AUT,2023,56908956
Austria,AUT,2024,56367656
Belgium,BEL,1802,6397344
Belgium,BEL,1830,6195824
Belgium,BEL,1831,4462752
Belgium,BEL,1832,4715568
Belgium,BEL,1833,4565344
Belgium,BEL,1834,4407792
Belgium,BEL,1835,4759536
Belgium,BEL,1836,5598592
Belgium,BEL,1837,5997968
Belgium,BEL,1838,6122544
