"county_code","year","number_trees","trees_alive","species_richness","diameter","height","region"
1,1974,427,360,23,10.7700234192037,NA,"South Delta"
1,1984,315,288,25,8.97746031746032,60.8579545454545,"South Delta"
1,1991,559,508,29,11.3044722719141,65.9746835443038,"South Delta"
1,2001,102,91,21,11.5952941176471,57.2549019607843,"South Delta"
1,2002,10,10,3,5.5,32.4,"South Delta"
1,2003,237,209,21,7.96147679324894,45.4008438818565,"South Delta"
1,2004,83,60,10,10.2240963855422,52.8192771084337,"South Delta"
1,2005,138,85,19,7.33384057971015,43.3985507246377,"South Delta"
1,2008,65,65,3,10.7953846153846,66.4769230769231,"South Delta"
1,2009,38,29,12,11.6247368421053,65.4594594594595,"South Delta"
1,2010,102,86,13,6.91794117647059,42.7204301075269,"South Delta"
1,2011,31,26,10,10.1306451612903,52.8709677419355,"South Delta"
1,2012,265,209,17,8.81305660377359,52.328125,"South Delta"
1,2013,161,116,12,7.67906832298137,47.025,"South Delta"
1,2014,108,95,12,8.11098039215686,48.6372549019608,"South Delta"
1,2015,190,170,16,7.78778947368421,50.5315789473684,"South Delta"
1,2016,135,107,15,7.90807407407407,50.1333333333333,"South Delta"
1,2017,27,0,9,NA,NA,"South Delta"
1,2018,65,59,2,11.4458461538462,63.8153846153846,"South Delta"
1,2019,175,118,18,9.5093125,54.275,"South Delta"
1,2020,171,112,12,7.8,48.1904761904762,"South Delta"
1,2021,112,93,14,8.60471698113207,57.122641509434,"South Delta"
1,2022,210,147,16,8.91,59.2625,"South Delta"
1,2023,38,29,10,11.9161290322581,70.1612903225806,"South Delta"
1,2024,82,39,7,9.38478260869565,62.4347826086956,"South Delta"
1,2025,82,77,7,11.112987012987,66.2987012987013,"South Delta"
3,1974,2014,1722,41,10.2449354518371,NA,"Southwest"
3,1984,1238,877,43,9.21308562197092,69.2482269503546,"Southwest"
3,1991,1819,1519,43,9.68499175371083,70.546812749004,"Southwest"
3,2001,516,460,27,8.26,49.8294573643411,"Southwest"
3,2002,556,458,34,7.28278776978417,46.9118705035971,"Southwest"
3,2003,464,400,31,9.91413793103448,59.3146551724138,"Southwest"
3,2004,542,438,30,8.50343173431734,49.9354243542435,"Southwest"
3,2005,440,341,18,7.33731818181818,46.6886363636364,"Southwest"
3,2009,465,337,18,6.89423655913978,40.5775862068966,"Southwest"
3,2010,365,269,18,6.9072602739726,49.3756906077348,"Southwest"
3,2011,633,431,30,7.98082278481013,53.2366666666667,"Southwest"
3,2012,383,275,30,7.17075718015666,47.023498694517,"Southwest"
3,2013,422,351,26,6.82905213270142,46.3483412322275,"Southwest"
3,2014,538,382,28,6.67184701492537,44.0708955223881,"Southwest"
3,2015,353,173,14,6.62782608695652,43.7010869565217,"Southwest"
3,2016,263,230,8,8.07019011406844,57.6882129277567,"Southwest"
3,2017,672,536,27,6.90888392857143,49.3601190476191,"Southwest"
3,2018,456,372,19,7.73864035087719,55.0789473684211,"Southwest"
3,2019,616,415,28,7.8164006514658,50.7296416938111,"Southwest"
3,2020,563,328,22,7.32439024390244,54.7886178861789,"Southwest"
3,2021,491,327,22,7.62191011235955,51.438202247191,"Southwest"
3,2022,303,233,16,7.43895582329317,55.004016064257,"Southwest"
3,2023,508,376,22,7.39073634204276,55.7957244655582,"Southwest"
3,2024,435,278,18,7.53127035830619,56.1400651465798,"Southwest"
3,2025,486,260,20,8.21067615658363,58.932384341637,"Southwest"
5,1974,674,563,29,11.3427299703264,NA,"South Delta"
5,1984,382,284,32,10.7361256544503,67.6902654867257,"South Delta"
5,1991,509,471,32,13.1176817288802,68.2959427207637,"South Delta"
5,2001,231,196,17,11.6038961038961,67.3030303030303,"South Delta"
5,2002,155,138,15,9.42735483870968,51.9161290322581,"South Delta"
5,2003,54,51,14,10.7353703703704,48.1481481481481,"South Delta"
5,2004,6,6,1,1.53333333333333,17.8333333333333,"South Delta"
5,2005,68,46,14,14.9447058823529,65.3134328358209,"South Delta"
5,2009,75,59,17,9.1936,54.0266666666667,"South Delta"
5,2010,132,117,18,6.23977272727273,42.2734375,"South Delta"
5,2011,65,53,9,11.7367692307692,65.1692307692308,"South Delta"
5,2012,73,66,5,8.14931506849315,45.2191780821918,"South Delta"
5,2013,17,6,5,8.78823529411765,64.25,"South Delta"
