Entity,Code,Year,Annual CO₂ emissions from land-use change
Austria,AUT,1850,3821955
Austria,AUT,1851,3770439.2
Austria,AUT,1852,3739881.5
Austria,AUT,1853,3740760.8
Austria,AUT,1854,3660189.5
Austria,AUT,1855,3756149.5
Austria,AUT,1856,3626444
Austria,AUT,1857,3704230.8
Austria,AUT,1858,3764137.2
Austria,AUT,1859,3667627.5
Austria,AUT,1860,4138818
Austria,AUT,1861,4142701.8
Austria,AUT,1862,4277280
Austria,AUT,1863,4350121
Austria,AUT,1864,4412335
Austria,AUT,1865,4534896
Austria,AUT,1866,4542920
Austria,AUT,1867,4700179
Austria,AUT,1868,4680210
Austria,AUT,1869,4785403.5
Austria,AUT,1870,4855532.5
Austria,AUT,1871,4993482
Austria,AUT,1872,5056466.5
Austria,AUT,1873,5081675
Austria,AUT,1874,5116300
Austria,AUT,1875,5223508
Austria,AUT,1876,5286492.5
Austria,AUT,1877,5358673.5
Austria,AUT,1878,5406305.5
Austria,AUT,1879,5378642
Austria,AUT,1880,5366074.5
Austria,AUT,1881,5232998
Austria,AUT,1882,5263665.5
Austria,AUT,1883,5289937
Austria,AUT,1884,5258866
Austria,AUT,1885,5268722
Austria,AUT,1886,5346802
Austria,AUT,1887,5342148.5
Austria,AUT,1888,5297301.5
Austria,AUT,1889,5346618.5
Austria,AUT,1890,5757719.5
Austria,AUT,1891,5898893.5
Austria,AUT,1892,6039114.5
Austria,AUT,1893,6139362
Austria,AUT,1894,6287790.5
Austria,AUT,1895,6300504.5
Austria,AUT,1896,6480223.5
Austria,AUT,1897,6567866.5
Austria,AUT,1898,6610698.5
Austria,AUT,1899,6629898.5
Austria,AUT,1900,6885975
Austria,AUT,1901,6924667
Austria,AUT,1902,7048107
Austria,AUT,1903,7094200
Austria,AUT,1904,7224418.5
Austria,AUT,1905,7233615
Austria,AUT,1906,7364017
Austria,AUT,1907,7445101.5
Austria,AUT,1908,7501380
Austria,AUT,1909,7566966.5
Austria,AUT,1910,5695395
Austria,AUT,1911,5013964.5
Austria,AUT,1912,4245550
Austria,AUT,1913,3696975.8
Austria,AUT,1914,3113484
Austria,AUT,1915,2559084.2
Austria,AUT,1916,2132264.8
Austria,AUT,1917,1648067.2
Austria,AUT,1918,1262541.1
Austria,AUT,1919,775998.56
Austria,AUT,1920,822091.7
Austria,AUT,1921,860124
Austria,AUT,1922,688172.5
Austria,AUT,1923,742729.44
Austria,AUT,1924,637206.25
Austria,AUT,1925,728769.6
Austria,AUT,1926,594520.6
Austria,AUT,1927,688575.5
