"year","plot","diameter","height","species","status"
2023,16,5.5,33,"Quercus texana",1
2023,16,5.1,33,"Quercus texana",1
2023,16,5.4,35,"Quercus texana",1
2023,16,5,30,"Quercus texana",1
2023,16,5.8,28,"Quercus texana",1
2023,16,2.2,23,"Quercus texana",1
2023,7,8.1,41,"Quercus texana",1
2023,7,7.9,48,"Quercus texana",1
2023,7,6.1,40,"Quercus texana",1
2023,7,5.7,42,"Quercus texana",1
2023,7,7.1,46,"Quercus texana",1
2023,7,6.2,41,"Quercus texana",1
2023,7,7.9,50,"Quercus texana",1
2023,7,5.9,46,"Quercus texana",1
2023,14,6.1,35,"Quercus texana",1
2023,14,7.7,40,"Quercus texana",1
2023,14,10.1,48,"Quercus texana",1
2023,14,10.3,45,"Quercus texana",1
2023,14,4.6,24,"Ulmus americana",1
2023,14,9.1,42,"Quercus texana",1
2023,18,19.3,96,"Quercus texana",1
2023,18,22.1,92,"Quercus texana",1
2023,18,NA,NA,"Ulmus americana",2
2023,24,6.4,56,"Ulmus americana",1
2023,24,5.3,41,"Ulmus americana",1
2023,25,12.4,55,"Ulmus americana",1
2023,27,5.5,35,"Quercus texana",1
2023,27,5.4,37,"Quercus texana",1
2023,27,7.3,41,"Quercus texana",1
2023,27,5.8,37,"Quercus texana",1
2023,27,5.4,37,"Quercus texana",1
2023,27,5.6,37,"Quercus texana",1
2023,27,6,39,"Quercus texana",1
2023,27,7,41,"Quercus texana",1
2023,9,18,91,"Quercus texana",1
2023,23,7.9,41,"Ulmus americana",1
2023,23,11.8,57,"Ulmus americana",1
2023,15,7.5,51,"Ulmus americana",1
2023,38,10.1,45,"Ulmus americana",1
2023,38,4.7,27,"Quercus texana",1
2023,5,NA,NA,"Ulmus americana",2
2023,5,NA,NA,"Ulmus americana",2
2023,5,NA,NA,"Ulmus americana",2
2023,34,5.7,40,"Ulmus americana",1
2023,34,8.4,50,"Ulmus americana",1
2023,34,5.1,48,"Ulmus americana",1
2023,12,8.6,49,"Quercus texana",1
2023,12,6.2,45,"Quercus texana",1
2023,12,8.4,48,"Quercus texana",1
2023,12,6.1,47,"Quercus texana",1
2023,13,4.7,30,"Ulmus americana",1
2023,13,20.8,112,"Ulmus americana",1
2023,13,13.1,55,"Ulmus americana",2
2023,13,NA,NA,"Ulmus americana",2
2023,13,24.5,95,"Ulmus americana",1
2023,13,18.1,102,"Ulmus americana",1
2023,30,NA,NA,"Ulmus americana",0
2023,5,11.5,55,"Ulmus americana",1
2023,5,5.5,43,"Ulmus americana",1
2023,5,7.8,51,"Ulmus americana",1
2023,5,6.5,45,"Ulmus americana",1
2023,5,5.3,43,"Ulmus americana",1
2023,23,5.1,37,"Ulmus americana",1
2023,23,5.3,30,"Ulmus americana",1
2023,27,8,50,"Ulmus americana",2
2023,27,18.8,100,"Quercus texana",2
2023,27,7,49,"Ulmus americana",2
2023,27,4,38,"Ulmus americana",1
2023,27,5.7,43,"Quercus texana",1
2023,27,26.3,105,"Quercus texana",1
