"","year","plot","diameter","height","species","status","height_m","diameter_cm"
"1",2023,16,5.5,33,"Quercus texana",1,10.0584,13.97
"2",2023,16,5.1,33,"Quercus texana",1,10.0584,12.954
"3",2023,16,5.4,35,"Quercus texana",1,10.668,13.716
"4",2023,16,5,30,"Quercus texana",1,9.144,12.7
"5",2023,16,5.8,28,"Quercus texana",1,8.5344,14.732
"6",2023,16,2.2,23,"Quercus texana",1,7.0104,5.588
"7",2023,7,8.1,41,"Quercus texana",1,12.4968,20.574
"8",2023,7,7.9,48,"Quercus texana",1,14.6304,20.066
"9",2023,7,6.1,40,"Quercus texana",1,12.192,15.494
"10",2023,7,5.7,42,"Quercus texana",1,12.8016,14.478
"11",2023,7,7.1,46,"Quercus texana",1,14.0208,18.034
"12",2023,7,6.2,41,"Quercus texana",1,12.4968,15.748
"13",2023,7,7.9,50,"Quercus texana",1,15.24,20.066
"14",2023,7,5.9,46,"Quercus texana",1,14.0208,14.986
"15",2023,14,6.1,35,"Quercus texana",1,10.668,15.494
"16",2023,14,7.7,40,"Quercus texana",1,12.192,19.558
"17",2023,14,10.1,48,"Quercus texana",1,14.6304,25.654
"18",2023,14,10.3,45,"Quercus texana",1,13.716,26.162
"19",2023,14,4.6,24,"Ulmus americana",1,7.3152,11.684
"20",2023,14,9.1,42,"Quercus texana",1,12.8016,23.114
"21",2023,18,19.3,96,"Quercus texana",1,29.2608,49.022
"22",2023,18,22.1,92,"Quercus texana",1,28.0416,56.134
"23",2023,18,NA,NA,"Ulmus americana",2,NA,NA
"24",2023,24,6.4,56,"Ulmus americana",1,17.0688,16.256
"25",2023,24,5.3,41,"Ulmus americana",1,12.4968,13.462
"26",2023,25,12.4,55,"Ulmus americana",1,16.764,31.496
"27",2023,27,5.5,35,"Quercus texana",1,10.668,13.97
"28",2023,27,5.4,37,"Quercus texana",1,11.2776,13.716
"29",2023,27,7.3,41,"Quercus texana",1,12.4968,18.542
"30",2023,27,5.8,37,"Quercus texana",1,11.2776,14.732
"31",2023,27,5.4,37,"Quercus texana",1,11.2776,13.716
"32",2023,27,5.6,37,"Quercus texana",1,11.2776,14.224
"33",2023,27,6,39,"Quercus texana",1,11.8872,15.24
"34",2023,27,7,41,"Quercus texana",1,12.4968,17.78
"35",2023,9,18,91,"Quercus texana",1,27.7368,45.72
"36",2023,23,7.9,41,"Ulmus americana",1,12.4968,20.066
"37",2023,23,11.8,57,"Ulmus americana",1,17.3736,29.972
"38",2023,15,7.5,51,"Ulmus americana",1,15.5448,19.05
"39",2023,38,10.1,45,"Ulmus americana",1,13.716,25.654
"40",2023,38,4.7,27,"Quercus texana",1,8.2296,11.938
"41",2023,5,NA,NA,"Ulmus americana",2,NA,NA
"42",2023,5,NA,NA,"Ulmus americana",2,NA,NA
"43",2023,5,NA,NA,"Ulmus americana",2,NA,NA
"44",2023,34,5.7,40,"Ulmus americana",1,12.192,14.478
"45",2023,34,8.4,50,"Ulmus americana",1,15.24,21.336
"46",2023,34,5.1,48,"Ulmus americana",1,14.6304,12.954
"47",2023,12,8.6,49,"Quercus texana",1,14.9352,21.844
"48",2023,12,6.2,45,"Quercus texana",1,13.716,15.748
"49",2023,12,8.4,48,"Quercus texana",1,14.6304,21.336
"50",2023,12,6.1,47,"Quercus texana",1,14.3256,15.494
"51",2023,13,4.7,30,"Ulmus americana",1,9.144,11.938
"52",2023,13,20.8,112,"Ulmus americana",1,34.1376,52.832
"53",2023,13,13.1,55,"Ulmus americana",2,16.764,33.274
"54",2023,13,NA,NA,"Ulmus americana",2,NA,NA
"55",2023,13,24.5,95,"Ulmus americana",1,28.956,62.23
"56",2023,13,18.1,102,"Ulmus americana",1,31.0896,45.974
"57",2023,30,NA,NA,"Ulmus americana",0,NA,NA
"58",2023,5,11.5,55,"Ulmus americana",1,16.764,29.21
"59",2023,5,5.5,43,"Ulmus americana",1,13.1064,13.97
"60",2023,5,7.8,51,"Ulmus americana",1,15.5448,19.812
"61",2023,5,6.5,45,"Ulmus americana",1,13.716,16.51
"62",2023,5,5.3,43,"Ulmus americana",1,13.1064,13.462
"63",2023,23,5.1,37,"Ulmus americana",1,11.2776,12.954
"64",2023,23,5.3,30,"Ulmus americana",1,9.144,13.462
"65",2023,27,8,50,"Ulmus americana",2,15.24,20.32
"66",2023,27,18.8,100,"Quercus texana",2,30.48,47.752
"67",2023,27,7,49,"Ulmus americana",2,14.9352,17.78
"68",2023,27,4,38,"Ulmus americana",1,11.5824,10.16
"69",2023,27,5.7,43,"Quercus texana",1,13.1064,14.478
"70",2023,27,26.3,105,"Quercus texana",1,32.004,66.802
"71",2023,27,17.5,102,"Quercus texana",1,31.0896,44.45
"72",2023,27,33.6,108,"Quercus texana",1,32.9184,85.344
"73",2023,30,5.6,41,"Ulmus americana",1,12.4968,14.224
"74",2023,40,5.4,35,"Ulmus americana",2,10.668,13.716
"75",2023,40,13.2,54,"Quercus texana",1,16.4592,33.528
"76",2023,16,17,75,"Ulmus americana",1,22.86,43.18
"77",2023,7,17.2,72,"Ulmus americana",1,21.9456,43.688
"78",2023,7,13.7,72,"Ulmus americana",1,21.9456,34.798
"79",2023,7,28.6,95,"Ulmus americana",1,28.956,72.644
"80",2023,7,30.9,100,"Quercus texana",1,30.48,78.486
"81",2023,11,2.6,29,"Ulmus americana",1,8.8392,6.604
"82",2023,11,4.9,40,"Ulmus americana",1,12.192,12.446
"83",2023,11,2.2,25,"Ulmus americana",1,7.62,5.588
"84",2023,11,7.4,46,"Ulmus americana",1,14.0208,18.796
"85",2023,13,5.7,37,"Ulmus americana",1,11.2776,14.478
"86",2023,21,5.9,39,"Ulmus americana",1,11.8872,14.986
"87",2023,21,6.7,55,"Ulmus americana",1,16.764,17.018
"88",2023,21,6.3,62,"Ulmus americana",1,18.8976,16.002
"89",2023,21,6.4,44,"Ulmus americana",1,13.4112,16.256
"90",2023,21,13.9,68,"Ulmus americana",1,20.7264,35.306
"91",2023,21,8,45,"Ulmus americana",1,13.716,20.32
"92",2023,21,1.8,25,"Ulmus americana",1,7.62,4.572
"93",2023,21,8.7,57,"Ulmus americana",1,17.3736,22.098
