"Time","PM10","Temperature","Pressure","Windspeed","Humidity","RainDuration","Radiation"
"01.08.2026 01:00",24.938,21.34,993.4,0.35,75.9,0,0
"01.08.2026 02:00",25.015,20.31,993.4,0.52,82.6,1,0
"01.08.2026 03:00",24.892,19.2,993.9,0.63,86.6,0,0
"01.08.2026 04:00",24.636,17.95,994.1,0.6,88.1,7,0
"01.08.2026 05:00",24.344,17,994.3,0.46,90,5,0
"01.08.2026 06:00",24.1,16.17,994.7,0.34,91,0,22.9
"01.08.2026 07:00",23.488,16.19,994.9,0.39,87.9,0,52.4
"01.08.2026 08:00",22.839,16.56,995.2,0.52,84.3,0,112.4
"01.08.2026 09:00",22.425,17.08,995.8,0.48,81.5,0,128.9
"01.08.2026 10:00",21.803,18.15,996.2,0.61,75.8,0,317.1
"01.08.2026 11:00",21.123,20.28,996.4,0.65,65,0,586.2
"01.08.2026 12:00",20.487,22.05,996.3,0.66,53.4,0,747.1
"01.08.2026 13:00",19.777,23.36,996.4,0.63,49.1,0,744.4
"01.08.2026 14:00",19.137,24.1,996.3,0.64,43.3,0,760
"01.08.2026 15:00",18.434,24.44,996.4,0.72,41.7,0,572.5
"01.08.2026 16:00",17.685,24.71,996.5,0.65,38.9,0,622.4
"01.08.2026 17:00",16.954,24.44,996.6,0.62,39.5,0,340.2
"01.08.2026 18:00",16.444,23.73,996.7,0.55,40.3,0,161.9
"01.08.2026 19:00",16.033,22.25,997,0.58,42,0,40.6
"01.08.2026 20:00",15.552,21.12,997.5,0.49,43.9,0,22.6
"01.08.2026 21:00",14.854,18.84,998,0.53,52.5,0,0
"01.08.2026 22:00",13.902,16.58,998.1,0.57,62.4,0,0
"01.08.2026 23:00",12.102,14.98,998.4,0.39,69.3,0,0
"02.08.2026 00:00",11.26,13.75,998.8,0.46,75.2,0,0
"02.08.2026 01:00",10.627,12.88,998.8,0.46,79.6,0,0
"02.08.2026 02:00",10.012,12.04,998.8,0.5,83.7,0,0
"02.08.2026 03:00",9.599,11.21,999,0.47,87,0,0
"02.08.2026 04:00",9.283,10.51,999,0.44,89.3,0,0
"02.08.2026 05:00",8.968,10.14,999,0.44,91,0,0.1
"02.08.2026 06:00",8.764,10.23,999,0.4,91.8,0,18.4
"02.08.2026 07:00",8.679,11.2,999,0.26,90.4,0,44.1
"02.08.2026 08:00",8.729,13.14,999,0.12,85.4,0,101.9
"02.08.2026 09:00",8.847,17.2,999,0.27,67.7,0,379.5
"02.08.2026 10:00",8.941,22.38,998.5,0.49,48.2,0,584.3
"02.08.2026 11:00",8.912,24.19,998.2,0.93,42.5,0,706.9
"02.08.2026 12:00",8.938,25.51,997.9,0.85,38.2,0,812.2
"02.08.2026 13:00",9.023,26.21,997.4,0.79,36.4,0,814.7
"02.08.2026 14:00",9.109,27.31,997.1,0.84,34.1,0,821.3
"02.08.2026 15:00",9.194,27.57,996.7,0.75,32.3,0,775.7
"02.08.2026 16:00",9.316,28.55,996.3,0.62,29.1,0,652.3
"02.08.2026 17:00",9.461,28.34,995.9,0.49,28.9,0,422.8
